"n" "m" "method" "mae" "tae"
"289" 4 7 "origi" 0.0210544 1
"290" 5 7 "origi" 0.0129793 1
"291" 6 7 "origi" 0.00873314 1
"292" 7 7 "origi" 0.00643182 1
"293" 8 7 "origi" 0.00463883 1
"294" 9 7 "origi" 0.00340102 1
"295" 10 7 "origi" 0.00254266 1
"296" 11 7 "origi" 0.0020154 1
"297" 12 7 "origi" 0.00161062 1
"298" 13 7 "origi" 0.00131633 1
"299" 14 7 "origi" 0.00108862 1
"300" 15 7 "origi" 0.000890666 1
"301" 16 7 "origi" 0.000759625 1
"302" 17 7 "origi" 0.000644078 1
"303" 1 8 "origi" 0.229109 1
"304" 2 8 "origi" 0.0735437 1
"305" 3 8 "origi" 0.0290703 1
"306" 4 8 "origi" 0.0137306 1
"307" 5 8 "origi" 0.00772095 1
"308" 6 8 "origi" 0.00505069 1
"309" 7 8 "origi" 0.00344125 1
"310" 8 8 "origi" 0.00252411 1
"311" 9 8 "origi" 0.00177699 1
"312" 10 8 "origi" 0.0012713 1
"313" 11 8 "origi" 0.000945184 1
"314" 12 8 "origi" 0.000726711 1
