"54",54,"(0,0.68)","4.25188e-04","1.75025e-01"
"55",55,"(0,0.58)","4.94427e-04","2.31511e-01"
"56",56,"(0,0.56)","1.97808e-04","1.01066e-01"
"57",57,"(0,0.63)","3.13945e-04","1.46699e-01"
"58",58,"(0,0.74)","1.58518e-03","8.04201e-01"
"59",59,"(0,0.63)","1.35912e-03","7.32469e-01"
"60",60,"(0,0.69)","1.38724e-03","7.24331e-01"
"61",61,"(0,0.64)","3.54032e-04","1.99716e-01"
"62",62,"(0,0.75)","8.40718e-05","6.26179e-02"
"63",63,"(0,0.78)","1.38130e-04","8.42331e-02"
"64",64,"(0,0.72)","3.21496e-04","1.79440e-01"
"65",65,"(0,0.78)","9.78098e-04","5.79809e-01"
"66",66,"(0.01,0.78)","2.67082e-04","1.60230e-01"
"67",67,"(0,0.81)","3.71794e-04","2.29381e-01"
"68",68,"(0,0.63)","1.68642e-03","1.18401e+00"
"69",69,"(0,0.69)","9.25626e-04","6.06065e-01"
"70",70,"(0,0.69)","5.31254e-04","3.46198e-01"
"71",71,"(0,0.61)","6.74462e-05","5.89799e-02"
"72",72,"(0,0.67)","2.49288e-04","1.75063e-01"
"73",73,"(0,0.83)","1.49465e-03","1.11589e+00"
"74",74,"(0.01,0.85)","1.60842e-04","1.18339e-01"
"75",75,"(0.01,0.82)","7.12767e-04","5.14987e-01"
"76",76,"(0,0.63)","6.04683e-04","4.55099e-01"
"77",77,"(0,0.88)","8.24154e-04","6.33272e-01"
"78",78,"(0,0.84)","9.21014e-04","7.21523e-01"
"79",79,"(0,0.71)","5.83127e-04","4.66466e-01"
"80",80,"(0,0.75)","9.05910e-04","7.32466e-01"
"81",81,"(0,0.69)","1.78408e-04","1.43649e-01"
"82",82,"(0,0.84)","4.16970e-04","3.49947e-01"
"83",83,"(0,0.78)","6.24993e-05","6.21906e-02"
"84",84,"(0.01,0.72)","6.91822e-04","6.16204e-01"
"85",85,"(0,0.79)","3.54011e-05","4.74656e-02"
"86",86,"(0,0.75)","8.33430e-05","7.72755e-02"
"87",87,"(0,0.78)","1.10816e-04","1.06262e-01"
"88",88,"(0.01,0.69)","4.13194e-04","3.78603e-01"
"89",89,"(0,0.7)","8.66754e-04","8.57616e-01"
"90",90,"(0,0.8)","2.30595e-04","2.12798e-01"
"91",91,"(0,0.86)","7.94567e-04","7.94972e-01"
"92",92,"(0,0.75)","2.27367e-04","2.22301e-01"
"93",93,"(0,0.84)","2.86368e-04","2.86214e-01"
"94",94,"(0,0.68)","4.20935e-04","4.26739e-01"
"95",95,"(0,0.71)","5.26056e-04","5.41687e-01"
"96",96,"(0,0.77)","6.09839e-04","6.53559e-01"
