"170",170,"(0,0.91)","4.95222e-04","9.95911e-02"
"171",171,"(0,0.94)","1.01951e-03","2.32847e-01"
"172",172,"(0.01,0.84)","4.22497e-03","1.07406e+00"
"173",173,"(0,0.84)","3.85476e-03","9.57308e-01"
"174",174,"(0,0.96)","1.95041e-04","2.67307e-02"
"175",175,"(0,0.99)","1.40503e-03","3.25402e-01"
"176",176,"(0,0.94)","1.87929e-03","4.04789e-01"
"177",177,"(0,0.95)","7.91403e-04","1.86259e-01"
"178",178,"(0,0.95)","1.40984e-03","3.22735e-01"
"179",179,"(0,0.87)","6.47927e-04","1.35082e-01"
"180",180,"(0,0.95)","3.19767e-03","7.87873e-01"
"181",181,"(0,0.9)","9.43049e-04","2.21355e-01"
"182",182,"(0,0.83)","1.15517e-03","2.68828e-01"
"183",183,"(0,0.93)","2.73198e-03","6.92858e-01"
"184",184,"(0,0.96)","2.77432e-03","6.93337e-01"
"185",185,"(0,0.88)","6.96007e-04","1.52941e-01"
"186",186,"(0,0.82)","2.35683e-03","6.01246e-01"
"187",187,"(0,0.98)","2.65381e-03","7.05438e-01"
"188",188,"(0,0.91)","1.30039e-03","3.06887e-01"
"189",189,"(0,0.89)","4.29771e-03","1.21935e+00"
"190",190,"(0,0.95)","1.99188e-03","5.17713e-01"
"191",191,"(0,0.95)","4.72864e-03","1.46591e+00"
"192",192,"(0,0.91)","1.42914e-03","3.59623e-01"
"193",193,"(0,0.91)","1.35500e-03","3.42057e-01"
"194",194,"(0,0.95)","2.99685e-03","8.11781e-01"
"195",195,"(0,0.94)","2.03287e-03","5.31502e-01"
"196",196,"(0,0.9)","9.77266e-04","2.50631e-01"
"197",197,"(0,0.99)","2.57670e-03","6.95331e-01"
"198",198,"(0,0.96)","9.54767e-04","2.22407e-01"
"199",199,"(0,0.81)","2.20404e-03","5.97207e-01"
"200",200,"(0,0.96)","9.60672e-04","2.36293e-01"
