"n"	"m"	"method"	"mae"	"tae"
"272"	16	6	"Original"	0.00198318	1
"273"	17	6	"Original"	0.00171372	1
"274"	18	6	"Original"	0.00150587	1
"275"	19	6	"Original"	0.00133036	1
"276"	20	6	"Original"	0.00118082	1
"277"	21	6	"Original"	0.00105861	1
"278"	22	6	"Original"	0.000950966	1
"279"	23	6	"Original"	0.000854313	1
"280"	24	6	"Original"	0.000779018	1
"281"	25	6	"Original"	0.000706225	1
"282"	26	6	"Original"	0.00064251	1
"283"	27	6	"Original"	0.000588524	1
"284"	28	6	"Original"	0.000536551	1
"285"	29	6	"Original"	0.000496282	1
"286"	1	7	"Original"	0.260847	1
"287"	2	7	"Original"	0.0899484	1
"288"	3	7	"Original"	0.0407112	1
"289"	4	7	"Original"	0.0210544	1
"290"	5	7	"Original"	0.0129793	1
"291"	6	7	"Original"	0.00873314	1
"292"	7	7	"Original"	0.00643182	1
"293"	8	7	"Original"	0.00463883	1
"294"	9	7	"Original"	0.00340102	1
"295"	10	7	"Original"	0.00254266	1
"296"	11	7	"Original"	0.0020154	1
"297"	12	7	"Original"	0.00161062	1
"298"	13	7	"Original"	0.00131633	1
"299"	14	7	"Original"	0.00108862	1
"300"	15	7	"Original"	0.000890666	1
"301"	16	7	"Original"	0.000759625	1
"302"	17	7	"Original"	0.000644078	1
"303"	1	8	"Original"	0.229109	1
"304"	2	8	"Original"	0.0735437	1
"305"	3	8	"Original"	0.0290703	1
"306"	4	8	"Original"	0.0137306	1
"307"	5	8	"Original"	0.00772095	1
"308"	6	8	"Original"	0.00505069	1
"309"	7	8	"Original"	0.00344125	1
"310"	8	8	"Original"	0.00252411	1
"311"	9	8	"Original"	0.00177699	1
"312"	10	8	"Original"	0.0012713	1
"313"	11	8	"Original"	0.000945184	1
"314"	12	8	"Original"	0.000726711	1
"315"	1	3	"SIM"	0.231409	0.462818
"316"	2	3	"SIM"	0.171561	0.546341
"317"	3	3	"SIM"	0.101729	0.473352
"318"	4	3	"SIM"	0.0785159	0.515767
"319"	5	3	"SIM"	0.0527044	0.415603
"320"	6	3	"SIM"	0.0527247	0.466909
"321"	7	3	"SIM"	0.0520658	0.538693
"322"	8	3	"SIM"	0.0397923	0.459947
"323"	9	3	"SIM"	0.0367072	0.466549
"324"	10	3	"SIM"	0.0374711	0.533326
"325"	11	3	"SIM"	0.034178	0.546062
"326"	12	3	"SIM"	0.0305714	0.526429
"327"	13	3	"SIM"	0.0281305	0.524176
"328"	14	3	"SIM"	0.0268992	0.531228
"329"	15	3	"SIM"	0.0236422	0.489075
"330"	16	3	"SIM"	0.0200285	0.43849
"331"	17	3	"SIM"	0.0220721	0.520111
"332"	18	3	"SIM"	0.0224002	0.557333
"333"	19	3	"SIM"	0.0189081	0.494894
"334"	20	3	"SIM"	0.0194249	0.536097
"335"	21	3	"SIM"	0.0173555	0.481656
"336"	22	3	"SIM"	0.0178645	0.540484
"337"	23	3	"SIM"	0.0165157	0.50483
"338"	24	3	"SIM"	0.0141356	0.445435
"339"	25	3	"SIM"	0.0164191	0.565294
"340"	26	3	"SIM"	0.0142687	0.493728
"341"	27	3	"SIM"	0.0136755	0.483714
"342"	28	3	"SIM"	0.0142537	0.536264
"343"	29	3	"SIM"	0.0140916	0.548437
"344"	30	3	"SIM"	0.0121954	0.471434
"345"	31	3	"SIM"	0.0126517	0.513689
"346"	32	3	"SIM"	0.0121074	0.495252
"347"	33	3	"SIM"	0.0117596	0.49905
"348"	34	3	"SIM"	0.0113773	0.498058
"349"	35	3	"SIM"	0.0107131	0.476557
"350"	36	3	"SIM"	0.0115571	0.536172
"351"	37	3	"SIM"	0.0105915	0.498393
"352"	38	3	"SIM"	0.0113665	0.559952
"353"	39	3	"SIM"	0.0102033	0.503478
"354"	40	3	"SIM"	0.0101064	0.517969
"355"	41	3	"SIM"	0.0100941	0.524744
"356"	42	3	"SIM"	0.00970105	0.520918
"357"	43	3	"SIM"	0.00942517	0.516139
"358"	44	3	"SIM"	0.0105889	0.593514
"359"	45	3	"SIM"	0.00978876	0.550808
"360"	46	3	"SIM"	0.00948927	0.552376
"361"	47	3	"SIM"	0.00840969	0.491344
"362"	48	3	"SIM"	0.00874463	0.50605
"363"	49	3	"SIM"	0.00801486	0.48423
"364"	50	3	"SIM"	0.00870748	0.536686
"365"	51	3	"SIM"	0.00838036	0.512616
"366"	52	3	"SIM"	0.0086008	0.542794
"367"	53	3	"SIM"	0.00831149	0.550903
"368"	54	3	"SIM"	0.00765592	0.494068
"369"	55	3	"SIM"	0.00885163	0.613994
"370"	56	3	"SIM"	0.00825774	0.562957
"371"	57	3	"SIM"	0.00768055	0.525763
"372"	58	3	"SIM"	0.00746382	0.510913
"373"	59	3	"SIM"	0.00780644	0.568721
"374"	60	3	"SIM"	0.00769475	0.56222
"375"	61	3	"SIM"	0.00730617	0.526667
"376"	62	3	"SIM"	0.00651141	0.465325
"377"	63	3	"SIM"	0.00696142	0.520357
"378"	64	3	"SIM"	0.00726117	0.560832
"379"	65	3	"SIM"	0.00671916	0.515388
"380"	66	3	"SIM"	0.00678727	0.521239
"381"	67	3	"SIM"	0.00615536	0.482436
"382"	68	3	"SIM"	0.00665843	0.525376
"383"	69	3	"SIM"	0.00638975	0.510603
"384"	70	3	"SIM"	0.00659579	0.535926
"385"	71	3	"SIM"	0.00666105	0.552888
"386"	72	3	"SIM"	0.00644865	0.541792
"387"	73	3	"SIM"	0.00672403	0.585395
"388"	74	3	"SIM"	0.00630307	0.53781
"389"	75	3	"SIM"	0.0062482	0.547996
"390"	76	3	"SIM"	0.00616402	0.547544
"391"	77	3	"SIM"	0.00621959	0.549406
"392"	78	3	"SIM"	0.00591698	0.540234
"393"	79	3	"SIM"	0.00591683	0.528003
"394"	80	3	"SIM"	0.00559017	0.513199
"395"	81	3	"SIM"	0.0054045	0.483101
"396"	82	3	"SIM"	0.0058025	0.538392
"397"	83	3	"SIM"	0.00601727	0.574465
"398"	84	3	"SIM"	0.00578667	0.555383
"399"	85	3	"SIM"	0.00516868	0.478415
"400"	86	3	"SIM"	0.00537024	0.503441
"401"	87	3	"SIM"	0.00542592	0.533062
"402"	88	3	"SIM"	0.00505627	0.496926
"403"	89	3	"SIM"	0.00545932	0.537211
"404"	90	3	"SIM"	0.00544604	0.555436
"405"	91	3	"SIM"	0.00499434	0.487499
"406"	92	3	"SIM"	0.00500611	0.507971
"407"	93	3	"SIM"	0.0053908	0.55844
"408"	94	3	"SIM"	0.00513166	0.525715
"409"	95	3	"SIM"	0.00500914	0.513469
"410"	96	3	"SIM"	0.00486092	0.496465
"411"	97	3	"SIM"	0.00559424	0.620705
"412"	98	3	"SIM"	0.00532743	0.586791
"413"	99	3	"SIM"	0.00497056	0.524936
"414"	100	3	"SIM"	0.0047163	0.501801
"415"	1	4	"SIM"	0.173046	0.348096
"416"	2	4	"SIM"	0.105953	0.425464
"417"	3	4	"SIM"	0.0698373	0.480147
"418"	4	4	"SIM"	0.0403006	0.425488
"419"	5	4	"SIM"	0.0292202	0.445007
"420"	6	4	"SIM"	0.0214061	0.402101
"421"	7	4	"SIM"	0.0192471	0.449163
"422"	8	4	"SIM"	0.0154324	0.412146
"423"	9	4	"SIM"	0.0149876	0.479603
"424"	10	4	"SIM"	0.0116962	0.44014
"425"	11	4	"SIM"	0.0103029	0.431185
"426"	12	4	"SIM"	0.00978956	0.471989
"427"	13	4	"SIM"	0.00919318	0.49173
"428"	14	4	"SIM"	0.00774124	0.449389
"429"	15	4	"SIM"	0.00691297	0.435032
"430"	16	4	"SIM"	0.00651971	0.455735
"431"	17	4	"SIM"	0.00592734	0.440752
"432"	18	4	"SIM"	0.00587838	0.472045
"433"	19	4	"SIM"	0.00562001	0.49273
"434"	20	4	"SIM"	0.0052336	0.473466
"435"	21	4	"SIM"	0.00494644	0.497701
"436"	22	4	"SIM"	0.00477116	0.502906
"437"	23	4	"SIM"	0.00432833	0.484823
"438"	24	4	"SIM"	0.0039867	0.458602
"439"	25	4	"SIM"	0.00409572	0.488256
"440"	26	4	"SIM"	0.00414247	0.547823
"441"	27	4	"SIM"	0.00366402	0.489243
"442"	28	4	"SIM"	0.00362859	0.503707
"443"	29	4	"SIM"	0.00335246	0.484662
"444"	30	4	"SIM"	0.00337017	0.523702
"445"	31	4	"SIM"	0.00309359	0.48635
"446"	32	4	"SIM"	0.00298165	0.48339
"447"	33	4	"SIM"	0.00305582	0.530682
"448"	34	4	"SIM"	0.002919	0.521541
"449"	35	4	"SIM"	0.00255858	0.452494
"450"	36	4	"SIM"	0.00265554	0.516315
"451"	37	4	"SIM"	0.00272203	0.530612
"452"	38	4	"SIM"	0.00275457	0.574736
"453"	39	4	"SIM"	0.0026772	0.551214
"454"	40	4	"SIM"	0.00249527	0.543314
"455"	41	4	"SIM"	0.00235372	0.513304
"456"	42	4	"SIM"	0.00231571	0.531955
"457"	43	4	"SIM"	0.00235155	0.559442
"458"	44	4	"SIM"	0.00226847	0.553028
"459"	45	4	"SIM"	0.00232368	0.579672
"460"	46	4	"SIM"	0.00220907	0.554365
"461"	47	4	"SIM"	0.00215824	0.555329
"462"	48	4	"SIM"	0.0021437	0.57825
"463"	49	4	"SIM"	0.00198423	0.547242
"464"	50	4	"SIM"	0.0021159	0.611696
"465"	51	4	"SIM"	0.00204042	0.582224
"466"	52	4	"SIM"	0.00202866	0.601953
"467"	53	4	"SIM"	0.00188791	0.585814
"468"	54	4	"SIM"	0.00191267	0.573942
"469"	55	4	"SIM"	0.00183925	0.590283
"470"	56	4	"SIM"	0.00181788	0.576932
"471"	57	4	"SIM"	0.00177921	0.575891
"472"	58	4	"SIM"	0.00174223	0.578047
"473"	59	4	"SIM"	0.00184633	0.628472
"474"	60	4	"SIM"	0.00178638	0.611409
"475"	61	4	"SIM"	0.00170789	0.61928
"476"	62	4	"SIM"	0.00171244	0.612339
"477"	63	4	"SIM"	0.00177061	0.656737
"478"	64	4	"SIM"	0.0016406	0.594949
"479"	65	4	"SIM"	0.00162162	0.60672
"480"	66	4	"SIM"	0.00160335	0.621692
"481"	67	4	"SIM"	0.00156512	0.620293
"482"	68	4	"SIM"	0.00165439	0.65152
"483"	69	4	"SIM"	0.00158074	0.641093
"484"	70	4	"SIM"	0.00160111	0.670464
"485"	71	4	"SIM"	0.00163004	0.692112
"486"	72	4	"SIM"	0.00146889	0.628814
"487"	73	4	"SIM"	0.00150108	0.651795
"488"	74	4	"SIM"	0.00148224	0.642663
"489"	75	4	"SIM"	0.00147991	0.656943
"490"	76	4	"SIM"	0.00145117	0.671773
"491"	77	4	"SIM"	0.00145333	0.687779
"492"	78	4	"SIM"	0.00141861	0.667347
"493"	79	4	"SIM"	0.00142634	0.672917
"494"	80	4	"SIM"	0.00144559	0.689268
"495"	81	4	"SIM"	0.00140034	0.680344
"496"	82	4	"SIM"	0.00141128	0.71957
"497"	83	4	"SIM"	0.0013854	0.692687
"498"	84	4	"SIM"	0.00141221	0.723546
"499"	85	4	"SIM"	0.00130954	0.675395
"500"	86	4	"SIM"	0.00128999	0.677557
"501"	87	4	"SIM"	0.00130486	0.677294
"502"	88	4	"SIM"	0.00124334	0.666561
"503"	89	4	"SIM"	0.00133265	0.69224
"504"	90	4	"SIM"	0.00132223	0.729224
"505"	91	4	"SIM"	0.0012513	0.710353
"506"	92	4	"SIM"	0.00127737	0.720778
"507"	93	4	"SIM"	0.00121791	0.686057
"508"	94	4	"SIM"	0.00122302	0.683462
"509"	95	4	"SIM"	0.00121279	0.703358
"510"	96	4	"SIM"	0.00120582	0.712163
"511"	97	4	"SIM"	0.00120703	0.724789
"512"	98	4	"SIM"	0.00121992	0.707872
"513"	99	4	"SIM"	0.00116596	0.716639
"514"	100	4	"SIM"	0.00114985	0.698726
"515"	1	5	"SIM"	0.189347	0.547054
"516"	2	5	"SIM"	0.0971225	0.569991
"517"	3	5	"SIM"	0.0519403	0.609754
"518"	4	5	"SIM"	0.0321927	0.62764
"519"	5	5	"SIM"	0.0185993	0.533137
"520"	6	5	"SIM"	0.0154143	0.605491
"521"	7	5	"SIM"	0.0121465	0.620383
"522"	8	5	"SIM"	0.0094617	0.595203
"523"	9	5	"SIM"	0.00813073	0.615254
"524"	10	5	"SIM"	0.00661675	0.610139
"525"	11	5	"SIM"	0.00618708	0.656479
"526"	12	5	"SIM"	0.00505329	0.635017
"527"	13	5	"SIM"	0.00430596	0.628025
"528"	14	5	"SIM"	0.0039569	0.659473
"529"	15	5	"SIM"	0.0036381	0.678621
"530"	16	5	"SIM"	0.00320728	0.651423
"531"	17	5	"SIM"	0.00294486	0.679415
"532"	18	5	"SIM"	0.00274753	0.701393
"533"	19	5	"SIM"	0.00257152	0.705267
"534"	20	5	"SIM"	0.00245516	0.733874
"535"	21	5	"SIM"	0.00229764	0.750357
"536"	22	5	"SIM"	0.00206414	0.717989
"537"	23	5	"SIM"	0.00199333	0.757765
"538"	24	5	"SIM"	0.00193849	0.764419
"539"	25	5	"SIM"	0.00180806	0.767402
"540"	26	5	"SIM"	0.00176069	0.825479
"541"	27	5	"SIM"	0.00159442	0.773993
"542"	28	5	"SIM"	0.00151505	0.791674
"543"	29	5	"SIM"	0.00152759	0.829188
"544"	30	5	"SIM"	0.00145618	0.847881
"545"	31	5	"SIM"	0.00139795	0.857906
"546"	32	5	"SIM"	0.00134017	0.853511
"547"	33	5	"SIM"	0.0012972	0.852542
"548"	34	5	"SIM"	0.00131448	0.899618
"549"	35	5	"SIM"	0.00121748	0.877701
"550"	36	5	"SIM"	0.00120894	0.896631
"551"	37	5	"SIM"	0.00118435	0.921003
"552"	38	5	"SIM"	0.00111687	0.918037
