"n"	"m"	"B"	"max"	"err.max"	"per.95"	"err.95"	"per.90"	"err.90"
"131"	20	3	"100"	0.0558342234826915	0.024121588013367	0.0355045608574212	0.00723749505239671	0.0213990565357548	0.0189464413860413
"141"	30	3	"100"	0.0363808235182692	0.0200579167513367	0.0196423984757421	0.00993392677523967	0.0100192917935755	0.0114266620786041
"151"	40	3	"100"	0.0270997401218269	0.0155930556251337	0.0124196386875742	0.010930932777524	0.00572813530935755	0.00708841195786041
"161"	50	3	"100"	0.0216511160321827	0.0102540131225134	0.00940472918875742	0.0077862470977524	0.00405308769093575	0.00543445063578604
"171"	60	3	"100"	0.0181715750432183	0.00889551665225134	0.00764862521887574	0.00573932850977524	0.00321639402909357	0.0051973743635786
"181"	70	3	"100"	0.0154339029743218	0.0103729832952251	0.00643662112188757	0.00768840151097752	0.00265385475290936	0.00444191460635786
"19"	80	3	"100"	0.0134962345074322	0.00720403683952251	0.00557485932218876	0.00776549418109775	0.00231099167529094	0.00306921918063579
"20"	90	3	"100"	0.0119773251007432	0.00621961975395225	0.00493016792221888	0.00580540436810978	0.00202261777752909	0.00273636032806358
"21"	100	3	"100"	0.0108212095300743	0.00970521391539523	0.00445355297222189	0.00556095103681098	0.00180099117775291	0.00491282637280636
"22"	10	3	"1000"	0.0883614852430074	0.00499335294153952	0.0666630814472222	0.0047378047536811	0.0505772618977753	0.00540915497728064
"23"	20	3	"1000"	0.0548853144243007	0.00545122883415395	0.0353645016147222	0.00665233802536811	0.0213903281097775	0.00441416275772806
"24"	30	3	"1000"	0.0363662549424301	0.00477860336341539	0.0191582625114722	0.00419177753253681	0.00991333391097775	0.00262350261577281
"25"	40	3	"1000"	0.027406633064243	0.00471382240634154	0.0124377449111472	0.00288424093325368	0.00556292776109777	0.00135433303157728
"26"	50	3	"1000"	0.0218596457064243	0.00427150342063415	0.00948990107111472	0.00174685861332537	0.00406136412610978	0.000970977673157728
"27"	60	3	"1000"	0.0180994068606424	0.00284896741206342	0.00773046998711147	0.00204902408133254	0.00321757934261098	0.00153776543731577
"28"	70	3	"1000"	0.0155019767960642	0.00339437793120634	0.00645772805871115	0.00308710960813325	0.0026639985942611	0.00119601720373158
"29"	80	3	"1000"	0.0134818588096064	0.00351685170312063	0.00559762370587111	0.00201749048081333	0.00228305303942611	0.000823925820373158
"30"	90	3	"1000"	0.0120305207809606	0.00275380819031206	0.00491103016058711	0.00133979727808133	0.00202627854394261	0.00114729806203732
"31"	100	3	"1000"	0.0106982562580961	0.00258410825903121	0.00440694927605871	0.00233088804780813	0.00178819423439426	0.00135032786620373
"32"	10	3	"1e+05"	0.0890450823258096	0.00101071390590312	0.0672796812576059	0.000799635174780812	0.0510195299334394	0.000611314156620374
"33"	20	3	"1e+05"	0.054134225162581	0.000560418580590313	0.0351617113157606	0.000454862907478081	0.0215860369733439	0.000355396555662038
